,Flow*,P,Q,Total
masked,88.48752698898315,4.5163768291473385,66.79137291908265,160.05487533569337
masked_no_symbolic,89.31422080039978,8.252676677703857,19.505271096229553,117.36051866054535
masked_no_symbolic_no_selective,90.38777641296387,11.378656373023986,23.240980134010314,125.27654611587525
masked_no_selective,89.51901304244996,10.375310454368591,46.6507622385025,146.8114367055893
masked_symbolic_low_order,90.79544829845429,4.3388739013671875,22.87037402153015,118.27108153343201
unmasked,88.34909940242767,14.15755105495453,231.79224380016328,334.563308968544
unmasked_no_symbolic,87.35189465045929,18.473653206825258,62.60243681907654,168.70350654125212
upfront,86.75311748981476,101.0653209066391,8.01553666114807,195.9748542547226
upfront_selective,86.0555043888092,81.6013952922821,6.482997107505798,174.30303603172302
masked_reversed,90.75473802089691,4.472154049873352,60.18154492378235,155.66734300613405
unmasked_reversed,89.12653053283691,14.386582164764404,228.25207308292389,332.0323366689682
