Parameter Set	Depth	Number of Flowpipes	Flowstar	Composition	Monitoring
p1	0.0	1.0	0.0	0.020563364028930664	0.049346499028615654
p1	1.0	5.0	0.0	0.08774805068969727	0.1599275742773898
p1	2.0	21.0	0.0	0.6242713928222656	0.6027231871266849
p1	3.0	85.0	34.31109261512756	79.33192896842957	8.287126896437258
p1	4.0	249.0	115.76628923416138	329.1158592700958	36.113191986689344
p1	5.0	597.0	239.07731580734253	856.4248046875	106.84461314516375
p1	6.0	1413.0	478.30731654167175	1813.5155568122864	277.64648471208056
p2	0.0	1.0	0.0	0.03505277633666992	0.02449190168408677
p2	1.0	5.0	0.0	0.13709044456481934	0.11430200940230861
p2	2.0	21.0	0.0	1.3647747039794922	0.5446983190486208
p2	3.0	85.0	3.567932605743408	34.30787420272827	4.960557326558046
p2	4.0	241.0	12.576280355453491	118.81214189529419	19.368527087266557
p2	5.0	533.0	33.20095086097717	283.58929681777954	55.08730790123809
p2	6.0	1033.0	61.262216329574585	549.8231863975525	140.01558049785672
p3	0.0	1.0	0.0	0.17254281044006348	0.03094897064147517
p3	1.0	5.0	0.0	1.4226818084716797	0.12754754844354466
p3	2.0	21.0	20.662752389907837	73.31379556655884	2.8858277135295793
p3	3.0	69.0	155.08148670196533	325.7625787258148	25.45052884123288
p3	4.0	145.0	302.688312292099	737.5611398220062	73.54710449191043
p3	5.0	297.0	633.5784070491791	1522.8982229232788	246.56975411751773
p3	6.0	557.0	1256.907172203064	2777.78239774704	529.4507723218994
