,masked,masked_no_symbolic,masked_no_symbolic_no_selective,masked_no_selective,masked_symbolic_low_order,unmasked,unmasked_no_symbolic,masked_reversed,unmasked_reversed
Unnamed: 0,4.5,24.5,24.5,24.5,1.5,4.5,24.5,4.5,14.5
Flow*,83.94787759780884,84.30383172035218,84.7758305978775,85.8044650220871,94.08468788862228,87.22648646831513,85.07789876937866,86.24615716934204,85.7351423740387
P,12.36600203514099,16.438029370307923,21.699812960624694,17.452275424003602,13.901104152202606,12.64587230682373,18.15735558986664,0.04650800228118897,11.51684877872467
Q,77.60191481113434,23.31194832801819,30.19077729701996,81.4428370141983,30.83237373828888,248.77915465831757,60.604838829040524,239.41698722839357,316.36433160305023
P | F(Q),90.07383306026459,39.8565442609787,51.99609479904175,99.00234523296356,44.84346127510071,262.3753358364105,78.86696157455444,239.5764607667923,327.99966886043546
tentative eval,1.0227731704711913,0.9673473787307739,0.9860854530334473,1.0286754274368286,1.756680428981781,3.3791268825531007,3.211616721153259,0.809382963180542,2.6006328582763674
root detection,0.03022007942199707,1.8414802742004395,2.3590994024276735,0.010687980651855469,0.5296704173088074,0.03315062522888183,5.338213939666748,0.010948991775512696,0.023203253746032715
composing flowpipe,19.19289083480835,35.85954399108887,47.18944276332855,42.714036026000976,21.656221628189087,32.66223318576813,67.84314647197724,16.17704908847809,34.155940198898314
composing atomic,69.07703800201416,0.009594931602478027,0.009936919212341308,53.851489405632016,20.061568200588226,224.15354509353637,0.019125680923461914,221.88890511989592,289.40355775356295
Total,174.17225575447083,124.33766749382019,136.92121584892274,184.9587521982193,139.0682070851326,349.76213080883025,164.11887867450713,325.97181046009064,413.89097340106963
